Type,Year,Cost for capture /tCO2 ($),Cost of Transport /tCO2/km ($),Cost of Storage /tCO2 ($),Effective Sale Price /tCO2 ($)
Onshore,2022,103.00,2.00,31.00,35.00
Onshore,2025,95.00,1.80,26.83,50.00
Onshore,2030,84.00,1.60,22.67,75.00
Onshore,2035,75.00,1.40,18.50,100.00
Onshore,2040,66.00,1.20,14.33,125.00
Onshore,2045,55.00,1.00,10.17,150.00
Onshore,2050,45.00,0.80,6.00,175.00
Offshore,2022,144.00,1.80,31.00,35.00
Offshore,2025,133.00,1.63,26.83,50.00
Offshore,2030,122.00,1.47,22.67,75.00
Offshore,2035,114.00,1.30,18.50,100.00
Offshore,2040,105.00,1.13,14.33,125.00
Offshore,2045,94.00,0.97,10.17,150.00
Offshore,2050,85.00,0.80,6.00,175.00
