Type,Year,Cost for Installation /kW ($),Cost of Production /kg ($),Cost of Transport /kg/100km,Cost of Gas storage/kg,Cost of liquid Storage /kg,Sell Price / kg,Efficiency (kWh/kgH2)
Alkaline,2022,181,2.7,0.15,0.7,2.8,4,58
Alkaline,2025,163,2.05,0.14,0.64,2.5,3.8,58
Alkaline,2030,135,1.4,0.12,0.53,2.1,3.35,58
Alkaline,2035,126,1.25,0.11,0.46,1.8,3,53
Alkaline,2040,117,1.1,0.09,0.37,1.5,2.65,49
Alkaline,2045,107,0.95,0.08,0.28,1.1,2.3,49
Alkaline,2050,98,0.8,0.06,0.17,0.8,2,49
PEM,2022,210,3.5,0.15,0.7,2.8,4,54
PEM,2025,172,2.85,0.135,0.62,2.5,3.8,54
PEM,2030,141,2.1,0.12,0.53,2.1,3.35,54
PEM,2035,133,1.95,0.105,0.46,1.8,3,50
PEM,2040,125,1.8,0.09,0.37,1.5,2.65,45
PEM,2045,117,1.65,0.075,0.28,1.1,2.3,45
PEM,2050,109,1.4,0.06,0.17,0.8,2,45
